absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
unknown,2144.0,None,,0,100,>98% reported,edison,>98%,28089,2020-11-04T10:43:36Z,R+16,Trump +16,15.83392,republican,Madison,43,,,43,45773,6.0,45832,18931,18931,33,33,39,39,48,48,35,35,293,293,14,142,26188,26188,128,246,0,0,0,0,0,0,0,0,0,0
unknown,980.0,None,,0,98,98% reported,edison,98%,28091,2020-11-04T10:43:36Z,R+38,Trump +38,38.47239,republican,Marion,22,,,19,11520,4.0,11338,3421,3421,12,12,5,5,11,11,11,11,44,44,5,34,7783,7783,29,34,0,0,0,0,0,0,0,0,0,0
none,920.0,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,28093,2020-11-04T10:43:37Z,R+2,Trump +2,2.35762,republican,Marshall,24,,,24,14698,2.0,13064,6283,6283,21,21,11,11,18,18,24,24,46,46,10,57,6591,6591,47,26,0,0,0,0,0,0,0,0,0,0
unknown,978.0,None,,0,86,86% reported,edison,86%,28095,2020-11-04T10:43:37Z,R+35,Trump +35,35.35025,republican,Monroe,26,,,26,16738,4.0,14461,4565,4565,20,20,11,11,20,20,17,17,88,88,4,43,9677,9677,39,40,0,0,0,0,0,0,0,0,0,0
all,726.0,None,,3763,99,>98% reported,edison,>98%,28097,2020-11-04T22:48:44Z,R+16,Trump +16,15.72808,republican,Montgomery,15,,,15,5003,6.0,4972,2084,3591,5,10,0,0,0,0,1,2,1,2,1,24,2866,5102,11,7,1507,5,0,0,1,1,1,2236,11,1
unknown,468.0,None,,0,100,>98% reported,edison,>98%,28099,2020-11-04T10:43:38Z,R+43,Trump +43,43.28945,republican,Neshoba,27,,,27,10898,4.0,11698,3247,3247,15,15,8,8,12,12,6,6,46,46,2,36,8311,8311,34,34,0,0,0,0,0,0,0,0,0,0
unknown,568.0,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,28101,2020-11-04T10:43:38Z,R+40,Trump +40,40.27426,republican,Newton,16,,,16,9673,4.0,8678,2542,2542,4,4,4,4,7,7,7,7,42,42,5,29,6037,6037,24,12,0,0,0,0,0,0,0,0,0,0
none,382.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28103,2020-11-04T10:43:39Z,D+45,Biden +45,45.46596,democrat,Noxubee,8,,,8,3981,6.0,3981,2867,2867,10,10,5,5,6,6,6,6,13,13,4,15,1057,1057,11,4,0,0,0,0,0,0,0,0,0,0
some,1134.0,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,28105,2020-11-06T22:29:27Z,D+7,Biden +7,6.51061,democrat,Oktibbeha,20,,,20,16402,2.0,19737,10257,10257,17,17,28,28,28,28,51,51,254,254,14,75,8972,8972,61,110,0,0,0,0,0,0,0,0,0,0
unknown,1296.0,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,28107,2020-11-06T18:41:01Z,R+5,Trump +5,4.53926,republican,Panola,21,,,20,12688,6.0,15421,7276,7276,19,19,7,7,19,19,11,11,46,46,11,59,7976,7976,48,16,0,0,0,0,0,0,0,0,0,0
unknown,1048.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28109,2020-11-06T14:42:50Z,R+64,Trump +64,64.31772,republican,Pearl River,26,,,26,21987,2.0,23656,4068,4068,18,18,14,14,12,12,31,31,154,154,13,53,19283,19283,40,46,0,0,0,0,0,0,0,0,0,0
unknown,400.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28111,2020-11-04T10:43:43Z,R+53,Trump +53,52.97854,republican,Perry,15,,,15,5661,4.0,5825,1340,1340,6,6,3,3,4,4,7,7,20,20,4,13,4426,4426,9,12,0,0,0,0,0,0,0,0,0,0
unknown,1376.0,None,,0,100,>98% reported,edison,>98%,28113,2020-11-06T18:40:21Z,D+1.5,Biden +1.5,1.51639,democrat,Pike,25,,,25,13841,4.0,14640,7328,7328,21,21,16,16,20,20,18,18,72,72,3,41,7106,7106,38,36,0,0,0,0,0,0,0,0,0,0
all,602.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28115,2020-11-04T10:43:43Z,R+62,Trump +62,62.223,republican,Pontotoc,28,,,28,12845,4.0,14215,2580,2580,16,16,10,10,16,16,17,17,102,102,4,33,11425,11425,29,32,0,0,0,0,0,0,0,0,0,0
all,438.0,None,,0,100,>98% reported,edison,>98%,28117,2020-11-04T22:51:05Z,R+58,Trump +58,58.31673,republican,Prentiss,15,,,15,10539,6.0,10539,2128,2128,10,10,3,3,9,9,6,6,69,69,3,23,8274,8274,20,34,0,0,0,0,0,0,0,0,0,0
none,1586.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28119,2020-11-04T10:43:44Z,D+35,Biden +35,34.81781,democrat,Quitman,10,,,10,3218,6.0,3211,2138,2138,7,7,8,8,3,3,5,5,12,12,3,15,1020,1020,12,6,0,0,0,0,0,0,0,0,0,0
none,3512.0,None,,0,76,76% reported,edison,76%,28121,2020-11-04T10:43:44Z,R+48,Trump +48,47.80712,republican,Rankin,48,,,48,70560,4.0,53400,13496,13496,35,35,43,43,44,44,53,53,470,470,7,112,39025,39025,105,244,0,0,0,0,0,0,0,0,0,0
none,356.0,None,,0,93,93% reported,edison,93%,28123,2020-11-04T10:43:45Z,R+23,Trump +23,22.51225,republican,Scott,23,,,23,10138,4.0,9386,3575,3575,6,6,11,11,13,13,21,21,33,33,4,28,5688,5688,24,22,0,0,0,0,0,0,0,0,0,0
all,144.0,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,28125,2020-11-04T10:43:45Z,D+35,Biden +35,34.9096,democrat,Sharkey,10,,,10,2157,6.0,2157,1440,1440,1,1,5,5,1,1,6,6,9,9,0,8,687,687,8,0,0,0,0,0,0,0,0,0,0,0
none,558.0,None,,0,91,91% reported,edison,91%,28127,2020-11-04T10:43:45Z,R+31,Trump +31,31.47228,republican,Simpson,23,,,23,11086,4.0,10066,3384,3384,12,12,7,7,11,11,22,22,41,41,4,32,6552,6552,28,10,0,0,0,0,0,0,0,0,0,0
all,678.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28129,2020-11-04T10:43:45Z,R+57,Trump +57,57.36445,republican,Smith,18,,,18,7285,6.0,7285,1518,1518,9,9,3,3,11,11,5,5,28,28,2,14,5697,5697,12,0,0,0,0,0,0,0,0,0,0,0
all,338.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28131,2020-11-04T10:43:45Z,R+62,Trump +62,61.57959,republican,Stone,15,,,15,6546,6.0,6546,1208,1208,12,12,5,5,13,13,8,8,50,50,2,11,5239,5239,9,0,0,0,0,0,0,0,0,0,0,0
unknown,234.0,None,,0,88,88% reported,edison,88%,28133,2020-11-04T10:43:46Z,D+36,Biden +36,36.4297,democrat,Sunflower,17,,,17,8647,4.0,7568,5118,5118,12,12,8,8,4,4,12,12,15,15,3,36,2361,2361,33,4,0,0,0,0,0,0,0,0,0,0
none,916.0,Merged into voters' home precincts and released with cumulative results,,0,84,84% reported,edison,84%,28135,2020-11-04T10:43:46Z,D+8,Biden +8,8.23245,democrat,Tallahatchie,21,,,21,5885,2.0,4956,2636,2636,11,11,13,13,7,7,14,14,20,20,1,22,2228,2228,21,10,0,0,0,0,0,0,0,0,0,0
none,602.0,None,,0,69,69% reported,edison,69%,28137,2020-11-04T10:43:47Z,R+33,Trump +33,33.07601,republican,Tate,20,,,20,12274,4.0,8420,2744,2744,9,9,11,11,7,7,15,15,58,58,4,41,5529,5529,37,12,0,0,0,0,0,0,0,0,0,0
unknown,540.0,None,,0,100,>98% reported,edison,>98%,28139,2020-11-06T18:41:06Z,R+61,Trump +61,60.80392,republican,Tippah,24,,,24,9137,2.0,10001,1906,1906,11,11,6,6,14,14,9,9,41,41,3,27,7987,7987,24,0,0,0,0,0,0,0,0,0,0,0
none,594.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28141,2020-11-04T10:43:49Z,R+75,Trump +75,75.12421,republican,Tishomingo,14,,,14,8282,2.0,9057,1050,1050,9,9,5,5,10,10,7,7,97,97,1,16,7854,7854,15,18,0,0,0,0,0,0,0,0,0,0
unknown,230.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28143,2020-11-04T15:14:53Z,D+46,Biden +46,46.16485,democrat,Tunica,12,,,12,3374,2.0,3494,2525,2525,2,2,3,3,7,7,7,7,9,9,0,26,912,912,26,6,0,0,0,0,0,0,0,0,0,0
none,700.0,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,28145,2020-11-04T10:43:51Z,R+66,Trump +66,66.06607,republican,Union,20,,,20,11374,2.0,10989,1792,1792,6,6,5,5,7,7,12,12,75,75,3,28,9052,9052,25,24,0,0,0,0,0,0,0,0,0,0
unknown,466.0,None,,0,0,0% reported,edison,0%,28147,2020-11-04T10:43:51Z,–,–,,,Walthall,20,,,0,6834,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1150.0,None,,0,100,>98% reported,edison,>98%,28149,2020-11-06T18:37:41Z,D+2,Biden +2,2.10283,democrat,Warren,23,,,23,19359,2.0,21162,10681,10681,24,24,26,26,23,23,25,25,90,90,9,54,10236,10236,45,6,0,0,0,0,0,0,0,0,0,0
unknown,914.0,None,,0,69,69% reported,edison,69%,28151,2020-11-04T22:46:37Z,D+20,Biden +20,20.01141,democrat,Washington,19,,,19,15182,4.0,10514,6218,6218,9,9,15,15,15,15,17,17,45,45,9,64,4114,4114,55,34,0,0,0,0,0,0,0,0,0,0
all,850.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28153,2020-11-04T10:43:52Z,R+27,Trump +27,26.7521,republican,Wayne,22,,,22,10009,6.0,9988,3592,3592,14,14,8,8,3,3,11,11,44,44,6,42,6264,6264,36,20,0,0,0,0,0,0,0,0,0,0
all,262.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28155,2020-11-04T10:44:08Z,R+60,Trump +60,60.42641,republican,Webster,17,,,17,5347,6.0,5347,1024,1024,4,4,5,5,4,4,2,2,27,27,3,19,4255,4255,16,14,0,0,0,0,0,0,0,0,0,0
none,326.0,None,,0,96,96% reported,edison,96%,28157,2020-11-04T10:43:23Z,D+33,Biden +33,32.61231,democrat,Wilkinson,9,,,9,3737,2.0,3606,2364,2364,10,10,5,5,4,4,9,9,11,11,5,12,1188,1188,7,6,0,0,0,0,0,0,0,0,0,0
some,794.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28159,2020-11-06T18:26:16Z,R+12,Trump +12,11.70514,republican,Winston,12,,,12,8896,2.0,9184,4009,4009,2,2,2,2,6,6,4,4,40,40,3,29,5084,5084,26,16,0,0,0,0,0,0,0,0,0,0
