absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,,Merged into voters' home precincts AFTER election night,,0,76,76% reported,edison,76%,36019,2020-11-04T10:43:37Z,R+6,Trump +6,6.0573,republican,Clinton,51,,,39,35958,2,27471,12690,12690,81,81,221,221,125,125,14354,14354,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,80,80% reported,edison,80%,36021,2020-11-04T10:43:37Z,D+5,Biden +5,4.59382,democrat,Columbia,50,,,40,34610,2,27537,14148,14148,127,127,293,293,86,86,12883,12883,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,74,74% reported,edison,74%,36023,2020-11-04T10:43:37Z,R+16,Trump +16,15.8982,republican,Cortland,51,,,38,22673,2,16700,6829,6829,80,80,235,235,72,72,9484,9484,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,85,85% reported,edison,85%,36025,2020-11-06T20:35:56Z,R+29,Trump +29,29.48356,republican,Delaware,55,,,47,22167,2,18763,6420,6420,62,62,219,219,59,59,11952,11952,102,0,0,0,0,0,0
all,,Merged into voters' home precincts AFTER election night,,0,85,85% reported,edison,85%,36027,2020-11-05T14:32:17Z,R+1.6,Trump +1.6,1.62374,republican,Dutchess,220,,,179,140000,4,119539,57720,57720,401,401,1007,1007,420,420,59661,59661,660,0,0,0,0,0,0
some,,Merged into voters' home precincts AFTER election night,,166139,81,81% reported,edison,81%,36029,2020-11-05T19:14:55Z,D+5,Biden +5,5.32853,democrat,Erie,837,,,677,474460,4,383952,198808,303688,1501,1932,3727,4631,1567,1951,178349,237889,0,104880,431,904,384,59540,0
unknown,,Merged into voters' home precincts AFTER election night,,0,79,79% reported,edison,79%,36031,2020-11-04T10:43:39Z,R+6,Trump +6,6.47349,republican,Essex,42,,,33,19284,2,15185,6970,6970,53,53,142,142,67,67,7953,7953,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,81,81% reported,edison,81%,36033,2020-11-04T10:43:40Z,R+13,Trump +13,12.62584,republican,Franklin,45,,,36,18986,2,15397,6586,6586,56,56,154,154,71,71,8530,8530,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,85,85% reported,edison,85%,36035,2020-11-05T19:05:03Z,R+41,Trump +41,40.6143,republican,Fulton,42,,,35,23760,2,20153,5804,5804,50,50,234,234,76,76,13989,13989,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,84,84% reported,edison,84%,36037,2020-11-04T10:43:42Z,R+41,Trump +41,41.16141,republican,Genesee,52,,,44,29604,2,25004,7048,7048,83,83,412,412,121,121,17340,17340,0,0,0,0,0,0,0
none,,Merged into voters' home precincts AFTER election night,,0,85,85% reported,edison,85%,36039,2020-11-04T10:43:43Z,R+24,Trump +24,24.16914,republican,Greene,52,,,44,24696,4,20882,7675,7675,90,90,266,266,78,78,12722,12722,102,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36041,2020-11-04T10:43:43Z,R+37,Trump +37,37.30973,republican,Hamilton,11,,,9,3612,2,2825,863,863,5,5,34,34,6,6,1917,1917,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,84,84% reported,edison,84%,36043,2020-11-04T10:43:43Z,R+39,Trump +39,39.39272,republican,Herkimer,59,,,50,29406,2,24766,7282,7282,80,80,239,239,80,80,17038,17038,94,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,83,83% reported,edison,83%,36045,2020-11-04T10:43:44Z,R+30,Trump +30,30.18857,republican,Jefferson,69,,,57,42824,2,35530,12053,12053,128,128,423,423,147,147,22779,22779,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,86,86% reported,edison,86%,36049,2020-11-04T10:43:44Z,R+47,Trump +47,47.46277,republican,Lewis,36,,,31,12684,2,10878,2768,2768,28,28,110,110,41,41,7931,7931,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36051,2020-11-04T10:43:45Z,R+28,Trump +28,28.19656,republican,Livingston,40,,,31,33635,2,26333,9150,9150,97,97,399,399,112,112,16575,16575,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,82,82% reported,edison,82%,36053,2020-11-04T10:43:45Z,R+22,Trump +22,22.15322,republican,Madison,52,,,43,33672,4,27698,10417,10417,147,147,390,390,123,123,16553,16553,136,0,0,0,0,0,0
none,,Merged into voters' home precincts AFTER election night,,0,60,60% reported,edison,60%,36061,2020-11-04T10:43:46Z,D+70,Biden +70,69.95553,democrat,Manhattan,1183,,,706,749213,2,446861,377605,377605,1776,1776,2050,2050,429,429,65001,65001,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,71,71% reported,edison,71%,36055,2020-11-06T20:26:45Z,D+8,Biden +8,8.47376,democrat,Monroe,827,,,586,389525,4,276241,146403,146403,1001,1001,3715,3715,1256,1256,122995,122995,1742,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,88,88% reported,edison,88%,36057,2020-11-04T10:43:45Z,R+33,Trump +33,32.66534,republican,Montgomery,19,,,16,20000,4,17615,5746,5746,64,64,215,215,70,70,11500,11500,40,0,0,0,0,0,0
