absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,janicekc__total_count,democrat__total_count,sasseb__total_count,republican__total_count,siadekg__total_count,libertarian__total_count,write-ins__total_count,janicekc__absentee_count,sasseb__absentee_count,siadekg__absentee_count,write-ins__absentee_count
unknown,470,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31129,2020-11-04T12:40:47Z,R+72,Sasse +72,72.10669,republican,Nuckolls,9,,,8,2470,2,2212,255,255,1850,1850,107,107,0,0,0,0,0
all,2920,Released as a precinct as first report of the night,,3759,98,98% reported,edison,98%,31131,2020-11-04T10:43:35Z,R+55,Sasse +55,54.67786,republican,Otoe,14,,,14,8306,6,8102,1495,2420,5925,8364,453,663,643,925,2439,210,185
unknown,504,Merged into voters' home precincts AFTER election night,,0,90,90% reported,edison,90%,31133,2020-11-07T00:00:39Z,R+63,Sasse +63,63.14623,republican,Pawnee,6,,,5,1497,2,1354,217,217,1072,1072,65,65,0,0,0,0,0
some,912,Released as a precinct as first report of the night,,829,91,91% reported,edison,91%,31135,2020-11-04T10:43:36Z,R+76,Sasse +76,75.84118,republican,Perkins,4,,,4,1630,2,1486,138,249,1265,1931,69,109,40,111,666,40,12
unknown,1421,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31137,2020-11-07T00:00:39Z,R+72,Sasse +72,72.38743,republican,Phelps,14,,,12,5258,2,4708,488,488,3896,3896,324,324,0,0,0,0,0
unknown,1102,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31139,2020-11-04T10:43:36Z,R+76,Sasse +76,76.16553,republican,Pierce,6,,,6,4066,2,3818,353,353,3261,3261,204,204,0,0,0,0,0
unknown,5291,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31141,2020-11-04T17:05:49Z,R+66,Sasse +66,65.71644,republican,Platte,32,,,28,16165,2,14558,2143,2143,11710,11710,705,705,0,0,0,0,0
unknown,954,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,31143,2020-11-04T10:43:37Z,R+70,Sasse +70,69.6299,republican,Polk,6,,,6,2892,2,2756,353,353,2272,2272,131,131,0,0,0,0,0
unknown,1754,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,31145,2020-11-04T10:43:37Z,R+71,Sasse +71,71.40661,republican,Red Willow,14,,,13,5790,2,5204,574,574,4290,4290,340,340,0,0,0,0,0
unknown,1536,Released as a separate subtotal as first report of the night,,0,89,89% reported,edison,89%,31147,2020-11-04T10:43:38Z,R+60,Sasse +60,59.78947,republican,Richardson,15,,,13,4262,2,3800,669,669,2941,2941,190,190,0,0,0,0,0
unknown,381,Released as a precinct as first report of the night,,0,88,88% reported,edison,88%,31149,2020-11-07T00:00:39Z,R+82,Sasse +82,82.40506,republican,Rock,2,,,2,894,2,790,43,43,699,699,48,48,0,0,0,0,0
unknown,1309,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,31151,2020-11-04T10:43:39Z,R+44,Sasse +44,44.4795,republican,Saline,13,,,11,5752,2,5072,1234,1234,3490,3490,348,348,0,0,0,0,0
unknown,41779,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,31153,2020-11-05T01:09:58Z,R+36,Sasse +36,36.4789,republican,Sarpy,52,,,52,90250,2,93221,23309,23309,57315,57315,5763,5763,13668,0,0,0,0
unknown,3181,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,98,98% reported,edison,98%,31155,2020-11-04T10:43:40Z,R+60,Sasse +60,60.14298,republican,Saunders,19,,,19,12163,2,11890,1988,1988,9139,9139,763,763,0,0,0,0,0
some,6589,Released as a precinct as first report of the night,,0,93,93% reported,edison,93%,31157,2020-11-08T16:14:08Z,R+52,Sasse +52,51.67047,republican,Scotts Bluff,30,,,30,16035,2,14906,2987,2987,10689,10689,943,943,574,0,0,0,0
unknown,2013,Released as a precinct as first report of the night,,0,97,97% reported,edison,97%,31159,2020-11-07T00:00:39Z,R+61,Sasse +61,60.83131,republican,Seward,16,,,15,8873,2,8637,1464,1464,6718,6718,455,455,0,0,0,0,0
unknown,739,Released as a precinct as first report of the night,,0,87,87% reported,edison,87%,31161,2020-11-04T17:25:46Z,R+69,Sasse +69,68.94923,republican,Sheridan,9,,,8,2921,2,2541,290,290,2042,2042,209,209,0,0,0,0,0
unknown,421,Released separately AFTER election night,,0,90,90% reported,edison,90%,31163,2020-11-04T10:43:43Z,R+61,Sasse +61,61.34507,republican,Sherman,7,,,6,1762,2,1591,245,245,1221,1221,125,125,0,0,0,0,0
unknown,291,Released separately AFTER election night,,0,84,84% reported,edison,84%,31165,2020-11-07T00:00:38Z,R+78,Sasse +78,78.3046,republican,Sioux,3,,,3,824,2,696,52,52,597,597,47,47,0,0,0,0,0
unknown,1576,Released as a precinct as first report of the night,,0,93,93% reported,edison,93%,31167,2020-11-04T10:43:43Z,R+66,Sasse +66,66.09589,republican,Stanton,16,,,15,3137,2,2920,374,374,2304,2304,242,242,0,0,0,0,0
unknown,773,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31169,2020-11-04T10:43:44Z,R+70,Sasse +70,69.55752,republican,Thayer,8,,,8,3013,2,2825,369,369,2334,2334,122,122,0,0,0,0,0
unknown,242,Released as a separate subtotal at the end of tabulation,,0,85,85% reported,edison,85%,31171,2020-11-04T10:43:44Z,R+74,Sasse +74,74.10256,republican,Thomas,1,,,1,457,2,390,40,40,329,329,21,21,0,0,0,0,0
unknown,363,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,87,87% reported,edison,87%,31173,2020-11-04T10:43:45Z,R+15,Sasse +15,15.05126,republican,Thurston,9,,,8,2472,2,2146,877,877,1200,1200,69,69,0,0,0,0,0
unknown,581,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31175,2020-11-04T10:43:45Z,R+68,Sasse +68,68.11723,republican,Valley,8,,,7,2470,2,2252,278,278,1812,1812,122,122,80,0,0,0,0
unknown,4096,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,31177,2020-11-07T00:00:38Z,R+59,Sasse +59,59.10823,republican,Washington,16,,,15,12132,2,11550,1981,1981,8808,8808,761,761,0,0,0,0,0
unknown,1347,Released as a precinct as first report of the night,,0,93,93% reported,edison,93%,31179,2020-11-04T10:43:46Z,R+60,Sasse +60,60.34747,republican,Wayne,11,,,10,4229,2,3914,638,638,3000,3000,276,276,0,0,0,0,0
unknown,499,Released separately AFTER election night,,0,91,91% reported,edison,91%,31181,2020-11-04T10:43:46Z,R+69,Sasse +69,68.84222,republican,Webster,6,,,6,1945,2,1762,230,230,1443,1443,89,89,0,0,0,0,0
unknown,160,Released separately AFTER election night,,0,91,91% reported,edison,91%,31183,2020-11-07T00:00:38Z,R+72,Sasse +72,71.61017,republican,Wheeler,2,,,2,521,2,472,49,49,387,387,36,36,0,0,0,0,0
unknown,2483,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31185,2020-11-04T10:43:47Z,R+65,Sasse +65,64.57253,republican,York,13,,,12,7147,2,6749,1008,1008,5366,5366,375,375,0,0,0,0,0
