absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,41779,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,31153,2020-11-05T01:09:28Z,R+11,Trump +11,10.99372,republican,Sarpy,52,,,52,90250,2,95409,41029,41029,2453,2453,51518,51518,818,0,0,0,0
unknown,3181,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,31155,2020-11-04T10:43:30Z,R+45,Trump +45,45.21588,republican,Saunders,19,,,19,12163,2,12646,3318,3318,292,292,9036,9036,0,0,0,0,0
some,6589,Released as a precinct as first report of the night,,7071,95,95% reported,edison,95%,31157,2020-11-08T16:14:14Z,R+44,Trump +44,43.67192,republican,Scotts Bluff,30,,,29,16035,2,15289,4133,6793,316,452,10810,15055,90,2660,136,4245,30
unknown,2013,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,31159,2020-11-07T00:00:44Z,R+44,Trump +44,44.32291,republican,Seward,16,,,16,8873,2,9142,2438,2438,214,214,6490,6490,0,0,0,0,0
unknown,739,Released as a precinct as first report of the night,,0,91,91% reported,edison,91%,31161,2020-11-04T17:25:45Z,R+73,Trump +73,73.05389,republican,Sheridan,9,,,8,2921,2,2672,340,340,40,40,2292,2292,0,0,0,0,0
unknown,421,Released separately AFTER election night,,0,95,95% reported,edison,95%,31163,2020-11-04T10:43:34Z,R+57,Trump +57,57.44048,republican,Sherman,7,,,7,1762,2,1680,341,341,33,33,1306,1306,0,0,0,0,0
unknown,291,Released separately AFTER election night,,0,88,88% reported,edison,88%,31165,2020-11-07T00:00:44Z,R+78,Trump +78,78.1893,republican,Sioux,3,,,3,824,2,729,72,72,15,15,642,642,0,0,0,0,0
unknown,1576,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,31167,2020-11-04T10:43:35Z,R+64,Trump +64,64.10742,republican,Stanton,16,,,16,3137,2,3165,532,532,68,68,2561,2561,8,0,0,0,0
unknown,773,Released as a precinct as first report of the night,,0,98,98% reported,edison,98%,31169,2020-11-04T10:43:35Z,R+56,Trump +56,56.45544,republican,Thayer,8,,,8,3013,2,2951,619,619,47,47,2285,2285,0,0,0,0,0
unknown,242,Released as a separate subtotal at the end of tabulation,,0,93,93% reported,edison,93%,31171,2020-11-04T10:43:36Z,R+78,Trump +78,77.75176,republican,Thomas,1,,,1,457,2,427,45,45,5,5,377,377,0,0,0,0,0
unknown,363,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,93,93% reported,edison,93%,31173,2020-11-04T10:43:36Z,R+2,Trump +2,2.48474,republican,Thurston,9,,,9,2472,2,2294,1107,1107,23,23,1164,1164,0,0,0,0,0
unknown,581,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,94,94% reported,edison,94%,31175,2020-11-04T10:43:36Z,R+64,Trump +64,63.52336,republican,Valley,8,,,8,2470,2,2333,410,410,27,27,1892,1892,8,0,0,0,0
unknown,4096,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,31177,2020-11-07T00:00:44Z,R+41,Trump +41,40.51398,republican,Washington,16,,,16,12132,2,12413,3554,3554,276,276,8583,8583,0,0,0,0,0
unknown,1347,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,31179,2020-11-04T10:43:37Z,R+48,Trump +48,48.40476,republican,Wayne,11,,,11,4229,2,4200,1022,1022,123,123,3055,3055,0,0,0,0,0
unknown,499,Released separately AFTER election night,,0,96,96% reported,edison,96%,31181,2020-11-04T10:43:37Z,R+63,Trump +63,62.68657,republican,Webster,6,,,6,1945,2,1876,335,335,30,30,1511,1511,0,0,0,0,0
unknown,160,Released separately AFTER election night,,0,96,96% reported,edison,96%,31183,2020-11-07T00:00:44Z,R+75,Trump +75,75.49801,republican,Wheeler,2,,,2,521,2,502,59,59,5,5,438,438,0,0,0,0,0
unknown,2483,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,31185,2020-11-04T10:43:38Z,R+52,Trump +52,51.86909,republican,York,13,,,13,7147,2,7089,1619,1619,174,174,5296,5296,0,0,0,0,0
