absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,50123,Released as a separate subtotal as first report of the night,,0,96,96% reported,edison,96%,29095,2020-11-04T10:43:54Z,D+22,Biden +22,21.80784,democrat,Jackson,148,,,147,342735,2,330771,198031,198031,556,556,1259,1259,4682,4682,125897,125897,692,0,0,0,0,0,0
all,7618,None,,0,100,>98% reported,edison,>98%,29097,2020-11-04T10:43:54Z,R+46,Trump +46,46.03447,republican,Jasper,48,,,47,52157,4,52515,13539,13539,52,52,155,155,862,862,37714,37714,386,0,0,0,0,0,0
all,15296,Released as a precinct as first report of the night,,32496,100,>98% reported,edison,>98%,29099,2020-11-04T10:40:53Z,R+34,Trump +34,33.88008,republican,Jefferson,54,,,54,116629,6,116629,37507,52337,150,191,318,383,1633,1913,77021,94301,0,14830,41,65,280,17280,0
all,3445,None,,0,100,>98% reported,edison,>98%,29101,2020-11-04T10:43:57Z,R+37,Trump +37,36.77272,republican,Johnson,11,,,11,23134,6,23134,6961,6961,39,39,66,66,551,551,15468,15468,98,0,0,0,0,0,0
all,443,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29103,2020-11-04T10:43:58Z,R+62,Trump +62,61.74569,republican,Knox,7,,,6,1856,6,1856,340,340,2,2,0,0,26,26,1486,1486,4,0,0,0,0,0,0
unknown,2208,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,29105,2020-11-04T10:43:59Z,R+65,Trump +65,65.25953,republican,LaClede,15,,,14,16816,4,16819,2779,2779,34,34,35,35,180,180,13755,13755,72,0,0,0,0,0,0
all,2230,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29107,2020-11-04T10:43:59Z,R+46,Trump +46,45.6126,republican,Lafayette,14,,,14,17083,6,17083,4470,4470,30,30,36,36,240,240,12262,12262,90,0,0,0,0,0,0
all,2240,Released as a precinct as first report of the night,,2912,100,>98% reported,edison,>98%,29109,2020-11-04T10:43:59Z,R+63,Trump +63,62.50418,republican,Lawrence,20,,,20,17930,6,17930,3214,4118,24,26,39,43,202,224,14421,16399,62,904,2,4,22,1978,2
all,421,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,29111,2020-11-04T10:44:00Z,R+56,Trump +56,55.5025,republican,Lewis,7,,,7,4669,4,4607,984,984,5,5,6,6,61,61,3541,3541,20,0,0,0,0,0,0
unknown,2926,None,,0,100,>98% reported,edison,>98%,29113,2020-11-04T10:44:00Z,R+53,Trump +53,52.57514,republican,Lincoln,22,,,22,26151,2,28814,6553,6553,44,44,68,68,447,447,21702,21702,0,0,0,0,0,0,0
unknown,907,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,97,97% reported,edison,97%,29115,2020-11-04T10:43:25Z,R+54,Trump +54,53.85965,republican,Linn,21,,,19,5854,2,5700,1274,1274,2,2,12,12,68,68,4344,4344,0,0,0,0,0,0,0
unknown,1254,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29117,2020-11-04T10:43:25Z,R+57,Trump +57,57.09845,republican,Livingston,13,,,12,6727,2,6755,1409,1409,10,10,13,13,57,57,5266,5266,0,0,0,0,0,0,0
unknown,1174,None,,0,100,>98% reported,edison,>98%,29121,2020-11-04T10:43:27Z,R+56,Trump +56,56.34414,republican,Macon,13,,,12,7834,6,7834,1661,1661,9,9,11,11,78,78,6075,6075,0,0,0,0,0,0,0
all,1022,None,,0,100,>98% reported,edison,>98%,29123,2020-11-04T10:43:27Z,R+63,Trump +63,62.84606,republican,Madison,8,,,8,5671,6,5671,1017,1017,7,7,13,13,53,53,4581,4581,0,0,0,0,0,0,0
all,731,Released as a precinct as first report of the night,,709,100,>98% reported,edison,>98%,29125,2020-11-04T10:43:28Z,R+64,Trump +64,64.43234,republican,Maries,11,,,11,4774,6,4774,814,1030,5,5,10,11,50,58,3890,4373,11,216,0,1,8,483,1
all,1762,None,,0,100,>98% reported,edison,>98%,29127,2020-11-04T10:43:28Z,R+50,Trump +50,50.17951,republican,Marion,17,,,16,13370,6,13370,3201,3201,10,10,28,28,190,190,9910,9910,62,0,0,0,0,0,0
all,1387,Released as a precinct as first report of the night,,1738,100,>98% reported,edison,>98%,29119,2020-11-04T10:43:26Z,R+67,Trump +67,66.60038,republican,McDonald,19,,,19,8966,6,9051,1437,1886,15,18,19,21,114,127,7465,8735,3,449,3,2,13,1270,1
unknown,302,Released separately AFTER election night,,0,97,97% reported,edison,97%,29129,2020-11-04T10:43:28Z,R+74,Trump +74,74.14278,republican,Mercer,5,,,5,1829,2,1779,222,222,2,2,1,1,13,13,1541,1541,0,0,0,0,0,0,0
unknown,1491,None,,0,100,>98% reported,edison,>98%,29131,2020-11-04T10:43:29Z,R+66,Trump +66,65.73229,republican,Miller,13,,,13,11960,2,12379,2038,2038,14,14,19,19,133,133,10175,10175,0,0,0,0,0,0,0
all,568,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29133,2020-11-04T10:43:29Z,R+50,Trump +50,49.6005,republican,Mississippi,9,,,8,4756,6,4756,1178,1178,4,4,7,7,30,30,3537,3537,0,0,0,0,0,0,0
unknown,664,None,,0,100,>98% reported,edison,>98%,29135,2020-11-04T10:43:29Z,R+62,Trump +62,61.97203,republican,Moniteau,11,,,10,7155,2,7150,1307,1307,9,9,8,8,88,88,5738,5738,0,0,0,0,0,0,0
unknown,592,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29137,2020-11-04T10:43:30Z,R+57,Trump +57,56.7241,republican,Monroe,9,,,9,4354,2,4469,931,931,6,6,8,8,56,56,3466,3466,4,0,0,0,0,0,0
all,530,Released as a precinct at the end of tabulation,,749,100,>98% reported,edison,>98%,29139,2020-11-04T10:43:31Z,R+56,Trump +56,56.34315,republican,Montgomery,10,,,10,5770,6,5770,1206,1483,3,5,12,13,84,91,4457,4919,16,277,2,1,7,462,0
unknown,1498,None,,0,100,>98% reported,edison,>98%,29141,2020-11-04T10:43:32Z,R+58,Trump +58,58.15057,republican,Morgan,11,,,11,9241,2,9484,1924,1924,13,13,10,10,98,98,7439,7439,0,0,0,0,0,0,0
unknown,581,Released separately AFTER election night,,0,94,94% reported,edison,94%,29143,2020-11-04T10:43:33Z,R+51,Trump +51,51.03477,republican,New Madrid,19,,,17,7708,2,7248,1748,1748,3,3,7,7,43,43,5447,5447,0,0,0,0,0,0,0
all,4181,Released as a precinct as first report of the night,,6197,100,>98% reported,edison,>98%,29145,2020-11-04T10:43:34Z,R+57,Trump +57,57.39189,republican,Newton,24,,,23,27874,4,28396,5793,7834,15,18,51,56,383,423,22090,26187,139,2041,3,5,40,4097,11
unknown,1334,None,,0,97,97% reported,edison,97%,29147,2020-11-04T10:43:35Z,R+41,Trump +41,40.5712,republican,Nodaway,20,,,19,10208,2,9874,2849,2849,14,14,25,25,131,131,6855,6855,0,0,0,0,0,0,0
unknown,634,None,,0,97,97% reported,edison,97%,29149,2020-11-04T10:43:35Z,R+64,Trump +64,63.77056,republican,Oregon,8,,,7,4891,2,4742,823,823,9,9,2,2,58,58,3847,3847,6,0,0,0,0,0,0
