absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,248885,Released as a separate subtotal as first report of the night,,0,75,75% reported,edison,75%,06097,2020-11-04T10:43:54Z,D+57,Biden +57,57.11654,democrat,Sonoma,668,,,501,263628,4,197603,153342,153342,485,485,929,929,1958,1958,410,410,40478,40478,2,0,0,0,0,0,0,0
some,171363,Released as a precinct as first report of the night,,138155,85,85% reported,edison,85%,06099,2020-11-07T05:35:43Z,D+3,Biden +3,2.99859,democrat,Stanislaus,192,,,164,196246,4,168279,84668,157319,629,1136,538,978,1697,3038,495,887,79622,141816,1890,72651,507,440,1341,392,62194,630
all,34061,"Released as first report, then NOT included in cumulative results",,0,94,94% reported,edison,94%,06101,2020-11-07T01:54:37Z,R+13,Trump +13,13.43101,republican,Sutter,45,,,42,38216,4,35969,15207,15207,96,96,119,119,413,413,96,96,20038,20038,0,0,0,0,0,0,0,0
unknown,24366,Released as a separate subtotal as first report of the night,,0,79,79% reported,edison,79%,06103,2020-11-07T01:40:38Z,R+31,Trump +31,30.63415,republican,Tehama,46,,,36,27255,2,21525,7241,7241,79,79,61,61,263,263,46,46,13835,13835,0,0,0,0,0,0,0,0
some,6488,None,,5095,79,79% reported,edison,79%,06105,2020-11-04T10:43:59Z,R+3,Trump +3,2.55152,republican,Trinity,25,,,19,6482,4,5095,2383,4766,23,46,30,60,86,172,13,26,2513,5026,141,2383,23,30,86,13,2513,47
unknown,98048,Released as a separate subtotal as first report of the night,,81563,97,97% reported,edison,97%,06107,2020-11-07T01:54:37Z,R+7,Trump +7,7.48305,republican,Tulare,271,,,262,128061,4,124214,56159,96022,511,816,388,652,1174,1850,423,691,65454,105610,241,39863,305,264,676,268,40156,31
unknown,30744,Other,,0,100,>98% reported,edison,>98%,06109,2020-11-05T20:35:35Z,R+18,Trump +18,18.42388,republican,Tuolumne,73,,,73,29103,2,29820,11808,11808,87,87,139,139,426,426,58,58,17302,17302,0,0,0,0,0,0,0,0
some,263890,Released as a separate subtotal as first report of the night,,0,89,89% reported,edison,89%,06111,2020-11-05T23:30:38Z,D+23,Biden +23,22.54433,democrat,Ventura,695,,,621,400968,2,358813,216447,216447,927,927,1339,1339,3746,3746,728,728,135555,135555,142,0,0,0,0,0,0,0
some,66098,Released as a separate subtotal as first report of the night,,0,69,69% reported,edison,69%,06113,2020-11-07T01:40:37Z,D+48,Biden +48,48.31983,democrat,Yolo,58,,,40,93583,4,64934,47504,47504,167,167,301,301,648,648,186,186,16128,16128,0,0,0,0,0,0,0,0
unknown,18752,None,,15496,72,72% reported,edison,72%,06115,2020-11-04T10:44:01Z,R+15,Trump +15,14.73964,republican,Yuba,34,,,24,26218,4,18820,7800,14957,83,152,78,149,236,435,49,89,10574,18534,0,7157,69,71,199,40,7960,0
