absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,edwardsj__total_count,libertarian__total_count,espym__total_count,democrat__total_count,hyde_smithc__total_count,republican__total_count,write-ins__total_count,edwardsj__absentee_count,espym__absentee_count,hyde_smithc__absentee_count,write-ins__absentee_count
unknown,1048.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28109,2020-11-06T14:43:32Z,R+54,Hyde-Smith +54,54.03479,republican,Pearl River,26,,,26,21987,2.0,23285,763,763,4959,4959,17541,17541,44,0,0,0,0
all,400.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28111,2020-11-04T10:43:51Z,R+45,Hyde-Smith +45,45.09905,republican,Perry,15,,,15,5661,4.0,5805,136,136,1525,1525,4143,4143,2,0,0,0,0
unknown,1376.0,None,,0,100,>98% reported,edison,>98%,28113,2020-11-06T18:40:53Z,D+7,Espy +7,6.69402,democrat,Pike,25,,,25,13841,4.0,14625,213,213,7689,7689,6710,6710,26,0,0,0,0
all,602.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28115,2020-11-04T10:43:52Z,R+54,Hyde-Smith +54,53.61889,republican,Pontotoc,28,,,28,12845,4.0,14148,329,329,3110,3110,10696,10696,26,0,0,0,0
all,438.0,None,,0,99,>98% reported,edison,>98%,28117,2020-11-04T22:51:06Z,R+47,Hyde-Smith +47,46.61898,republican,Prentiss,15,,,15,10539,6.0,10485,226,226,2680,2680,7568,7568,22,0,0,0,0
none,1586.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28119,2020-11-04T10:43:52Z,D+44,Espy +44,43.94034,democrat,Quitman,10,,,10,3218,6.0,3218,48,48,2292,2292,878,878,0,0,0,0,0
none,3512.0,None,,0,75,75% reported,edison,75%,28121,2020-11-04T10:43:53Z,R+42,Hyde-Smith +42,41.87116,republican,Rankin,48,,,48,70560,4.0,53261,1421,1421,14740,14740,37041,37041,118,0,0,0,0
none,356.0,None,,0,92,92% reported,edison,92%,28123,2020-11-04T10:43:53Z,R+16,Hyde-Smith +16,16.0819,republican,Scott,23,,,23,10138,4.0,9377,138,138,3865,3865,5373,5373,2,0,0,0,0
all,144.0,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,28125,2020-11-04T10:43:53Z,D+38,Espy +38,38.32947,democrat,Sharkey,10,,,10,2157,6.0,2155,7,7,1487,1487,661,661,0,0,0,0,0
none,558.0,None,,0,91,91% reported,edison,91%,28127,2020-11-04T10:43:54Z,R+27,Hyde-Smith +27,26.85794,republican,Simpson,23,,,23,11086,4.0,10038,115,115,3612,3612,6308,6308,6,0,0,0,0
all,678.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28129,2020-11-04T10:43:54Z,R+52,Hyde-Smith +52,51.8942,republican,Smith,18,,,18,7285,6.0,7259,112,112,1690,1690,5457,5457,0,0,0,0,0
all,338.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28131,2020-11-04T10:43:54Z,R+53,Hyde-Smith +53,53.30167,republican,Stone,15,,,15,6546,6.0,6527,178,178,1435,1435,4914,4914,0,0,0,0,0
none,234.0,None,,0,88,88% reported,edison,88%,28133,2020-11-04T10:43:54Z,D+41,Espy +41,41.14384,democrat,Sunflower,17,,,17,8647,4.0,7571,35,35,5325,5325,2210,2210,2,0,0,0,0
none,916.0,Merged into voters' home precincts and released with cumulative results,,0,84,84% reported,edison,84%,28135,2020-11-04T10:43:55Z,D+15,Espy +15,15.27722,democrat,Tallahatchie,21,,,21,5885,2.0,4942,56,56,2820,2820,2065,2065,2,0,0,0,0
none,602.0,None,,0,68,68% reported,edison,68%,28137,2020-11-04T10:43:56Z,R+24,Hyde-Smith +24,24.22174,republican,Tate,20,,,20,12274,4.0,8352,186,186,3067,3067,5090,5090,18,0,0,0,0
unknown,540.0,None,,0,100,>98% reported,edison,>98%,28139,2020-11-06T18:41:31Z,R+50,Hyde-Smith +50,49.76341,republican,Tippah,24,,,24,9137,2.0,9933,204,204,2393,2393,7336,7336,0,0,0,0,0
none,594.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28141,2020-11-04T10:43:59Z,R+62,Hyde-Smith +62,62.05054,republican,Tishomingo,14,,,14,8282,2.0,8983,252,252,1575,1575,7149,7149,14,0,0,0,0
